WORDS,START,END,CONFIDENCE
find,46.66,46.94,1.0001
fossils,46.95,47.56,1
now,48.41,48.55,0.08788
i'm(2),48.56,48.65,0.070404
a(2),48.66,48.75,0.14577
breakdown,48.76,49.28,0.114882
this,49.29,49.46,0.219287
formula,49.47,49.96,0.170434
organisms,50.81,51.42,0.954464
exist,51.43,51.89,0.718824
only,51.9,52.27,0.9991
during,52.28,52.6,0.935469
certain,52.61,53.11,0.9993
geological,53.12,53.87,0.9993
intervals,53.98,54.79,0.87004
to(2),55.2,55.44,0.851361
have,55.45,55.62,0.956949
to(3),55.63,55.72,0.880457
find,55.73,56.04,0.909818
rocks,56.05,56.38,0.519922
a,56.39,56.5,0.071668
great,56.51,56.7,0.077801
age,56.71,57.19,0.108115
a,57.66,57.68,0.019584
penny,57.69,57.96,0.024919
on(2),57.97,58.08,0.082094
what,58.09,58.23,0.180487
your(2),58.24,58.36,0.972774
interests(2),58.37,58.84,0.513309
are,58.85,59.05,0.877994
if,59.8,59.91,0.710889
you,59.92,59.98,0.902026
wanna,59.99,60.15,0.323832
find,60.16,60.4,0.308067
trial,60.41,60.89,0.57415
by,60.9,61.05,0.861899
its,61.06,61.24,0.047684
yet,61.25,61.47,0.118808
to(3),61.48,61.58,0.414119
find,61.59,61.82,0.83793
a,61.83,61.87,0.449827
really,61.88,62.22,0.700304
really,62.23,62.49,0.9996
old,62.5,62.83,0.704378
opposite(2),62.84,63.22,0.01795
kelly,63.23,63.51,0.000617
a,63.52,63.57,0.001255
zealot,63.58,63.96,0.004111
rocks,63.97,64.22,0.04365
between,64.23,64.54,0.1483
a,64.55,64.61,0.043215
half,64.62,64.94,0.171032
a,64.95,64.98,0.303754
billion,64.99,65.48,0.996008
and(2),65.49,65.66,0.763508
a,65.67,65.72,0.110112
quarter,65.81,66.13,0.889662
billion,66.14,66.62,0.9999
years(2),66.63,66.94,0.999
old,66.95,67.34,0.9995
after,68.32,68.53,0.233641
like,68.54,68.68,0.484575
my,68.69,68.84,0.863452
dinosaurs,68.85,69.72,0.980981
oh,70.48,70.63,0.616279
look,70.64,70.77,0.867954
in,70.78,70.85,0.130467
the,70.86,70.91,0.568607
deli,70.92,71.21,0.027836
is,71.22,71.37,0.345929
art,71.38,71.64,0.00459
will(2),71.65,71.84,0.053246
find,71.85,72.2,0.888328
them(2),72.21,72.39,0.321798
had,72.85,73.05,0.172354
not,73.06,73.21,0.043047
thought,73.22,73.54,0.182465
to(3),73.55,73.62,0.030694
have,73.63,73.76,0.230715
yet,74.36,74.61,0.09311
to(2),74.62,74.7,0.562386
find,74.71,74.97,0.975112
the(2),74.98,75.05,0.487686
younger,75.06,75.59,0.999
rocks,75.6,76.13,0.953033
of,76.33,76.5,0.614924
them(2),76.51,76.69,0.636066
as,76.7,76.83,0.783152
is,76.84,76.99,0.047613
out,77,77.21,0.020007
in,77.22,77.38,0.161539
the,77.39,77.45,0.358718
case,77.46,77.7,0.683763
of,77.71,77.78,0.768257
dinosaurs,77.79,78.42,0.9999
between,78.43,78.8,0.800975
two,78.81,79.08,0.998801
hundred(3),79.09,79.32,0.406812
and,79.33,79.41,0.047333
thirty,79.42,79.65,0.9999
five,79.66,80.06,1
and(2),80.6,80.74,0.701285
sixty,80.75,81.18,0.9998
six,81.19,81.51,0.993123
million,81.52,81.87,0.86302
years(2),81.88,82.13,0.625969
ago,82.14,82.37,0.9999
that's,83.57,83.83,0.781744
fairly,83.84,84.43,0.926623
easy,84.44,84.63,0.98649
to(3),84.64,84.71,0.564866
find,84.72,85.06,0.90528
rocks,85.07,85.41,0.001927
of,85.42,85.49,0.986787
the,85.5,85.57,0.754324
rage,85.58,86.06,0.091751
at,86.07,86.13,0.125088
this,86.14,86.32,0.788102
point,86.33,86.6,1.0002
because(2),86.61,86.91,1.0002
the(2),86.92,87.04,0.953987
earth,87.05,87.28,0.57911
is,87.29,87.76,0.438719
of,88.21,88.3,0.78323
course,88.31,88.61,0.936873
degree,88.62,89.06,0.142941
to(2),89.71,89.87,0.620174
logically,89.88,90.32,0.784406
maps,90.33,90.8,0.001257
this,91.66,91.82,0.984125
is,91.83,91.94,0.987083
hard,91.95,92.5,0.988565
one(2),92.51,92.95,0.84171
information,92.96,93.66,0.9989
yeah,94.38,94.64,0.999
i,94.65,94.67,0.42733
also,94.68,95,0.615539
read,95.01,95.25,0.110079
history(2),95.26,95.77,0.505615
are,96.24,96.39,0.485205
written,96.4,96.68,0.20005
in,96.69,96.83,0.425624
rocks,96.84,97.11,0.268756
one(2),97.12,97.38,0.729324
chapter,97.39,97.8,0.89654
upon,97.81,98.14,0.010259
and,98.15,98.27,0.120724
accept,98.28,98.75,0.143284
that(2),98.76,98.9,0.17973
the(2),98.91,99.04,0.874664
oldest,99.05,99.46,0.860349
age,99.47,99.62,0.178494
is,99.63,99.77,0.932107
wrong,99.78,99.99,0.871869
bottom,100,100.38,0.116083
and(2),101.11,101.27,0.695001
the(2),101.28,101.33,0.637212
youngest,101.34,101.79,0.984618
on(2),101.8,101.96,0.528415
top,101.97,102.42,0.831419
now,103.6,103.73,0.337049
we're(3),103.74,103.91,0.319841
quite,103.92,104.21,0.34071
that,104.22,104.41,0.707343
easy,104.42,104.95,0.9999
geologists,105.3,105.9,0.86397
would,105.91,106.16,0.262565
rejoice,106.44,107.19,0.995908
it's,107.71,107.86,0.772263
not,107.87,108.28,0.9994
like,108.99,109.3,0.465153
forever,109.31,109.75,0.087783
it,109.76,110.08,0.535383
is,110.3,110.44,0.825619
an(2),110.45,110.53,0.761754
old,110.54,110.83,0.930895
one(2),110.84,111.14,0.783544
has,111.15,111.37,0.938937
no,111.38,111.63,0.976771
librarian,111.64,112.42,0.535598
to,112.43,112.61,0.788181
impose,112.62,113.08,0.991535
order,113.09,113.44,0.9994
operating,114.15,114.68,0.330937
over,114.69,114.92,0.9995
best,114.93,115.59,0.030185
lots,115.6,115.98,0.048575
of,115.99,116.12,0.497539
time,116.13,116.62,0.724236
myriad,117.21,117.67,0.312818
geological,117.68,118.26,0.9992
processes,118.27,118.92,0.998002
offer,118.93,119.29,0.217648
every(2),119.55,119.92,0.800094
possible,119.93,120.51,0.9998
in,120.65,120.8,0.272682
sol,120.81,121.22,0.006755
the,122.09,122.29,0.860177
rocks,122.3,122.62,0.965698
of,122.63,122.72,0.322346
agents,122.73,123.28,0.694723
most(2),124.29,124.52,0.228625
pages(2),124.53,124.88,0.217387
to,124.89,124.97,0.145843
destroy,124.98,125.58,0.482013
to(2),125.59,125.84,0.469359
nerve,125.85,126.02,0.003685
to(3),126.03,126.1,0.225537
being,126.11,126.38,0.418532
ready,126.39,126.82,0.205546
for(2),127.09,127.15,0.028796
some,127.44,127.67,0.881249
the(2),127.68,127.83,0.048507
desert(2),127.84,128.38,0.045214
over,128.39,128.64,0.145683
ray,128.65,129.11,0.001574
pretty,129.21,129.61,0.386505
difficult,129.62,130.21,0.999
to(3),130.22,130.29,0.445217
decipher,130.3,130.89,0.582362
pound,130.9,131.4,0.688842
sacks,131.41,131.84,0.559637
of,131.85,131.97,0.756667
long,132.14,132.43,0.959249
gone,132.44,132.69,0.380674
landscapes(2),132.7,133.44,0.987675
it,134.41,134.61,0.358288
is,134.62,134.72,0.657278
that(2),134.73,135.06,0.785584
you,135.07,135.24,0.827768
find,135.25,135.58,0.998801
sanctuary,135.59,136.34,0.9996
on,136.35,136.49,0.236936
to(2),136.5,136.59,0.102503
the(2),136.6,136.76,0.606374
advancing,136.77,137.39,0.165017
sands,137.4,137.74,0.004145
of,137.75,137.85,0.082217
time,137.86,138.31,0.88319
i,139.16,139.22,0.821172
never,139.23,139.48,0.984421
truly,139.49,139.89,1
safe,139.9,140.43,0.967535
i,141.5,141.59,0.724671
like,141.6,141.78,0.773113
the,141.79,141.89,0.490769
movie,141.9,142.38,0.635812
are,142.63,142.91,0.194293
dead,142.92,143.36,0.020029
rotting,143.37,143.71,0.20728
companion,143.72,144.36,0.909545
the(2),144.75,144.88,0.104428
earth,144.89,145.05,0.127207
is,145.06,145.17,0.624281
alive,145.18,145.7,0.348289
whole,145.88,146.1,0.922001
thing,146.11,146.36,0.851872
with,146.37,146.51,0.878785
three,146.52,147.03,0.290038
of,147.04,147.11,0.131805
them(2),147.12,147.25,0.008377
destructive,147.26,148.07,0.9997
forces,148.08,148.47,0.743613
that(2),148.48,148.65,0.338536
power,148.66,149.16,0.945817
it's,149.17,149.33,0.134656
geological,149.34,149.93,0.564979
metabolism,149.94,150.68,0.991634
iraq's(2),151.9,152.46,0.10857
brought,152.47,152.7,0.095229
back,152.71,152.94,0.834585
by,152.95,153.06,0.995709
the(2),153.07,153.16,1
apollo,153.17,153.56,1.0001
astronauts,153.57,154.05,1.0001
are,154.06,154.21,0.180541
they,154.22,154.43,0.195247
back,154.44,154.71,0.834835
to,154.72,155,0.979412
about,155.45,155.74,0.797139
the(2),155.75,155.85,0.611429
age,155.86,156.04,0.966374
of,156.05,156.12,0.977455
the,156.13,156.18,0.968309
solar,156.19,156.51,1.0001
system,156.52,156.88,0.990841
no,157.64,157.8,0.270806
rocks,157.81,158.35,0.925049
our(3),159.06,159.17,0.031326
forever,159.18,159.74,0.868301
earth,161.02,161.23,0.075441
brought,161.24,161.48,0.008903
some,161.49,161.69,0.560701
alien,161.7,162.12,0.22669
face,162.13,162.43,0.111464
of,162.44,162.54,0.210308
perils,162.55,163.12,0.489054
of,163.13,163.23,0.62829
all,163.24,163.35,0.054512
let,163.36,163.63,0.104052
the(2),163.64,163.86,0.242594
let,163.87,164.05,0.297381
those,164.06,164.33,0.074318
here,164.34,164.64,0.454894
also,165.13,165.86,0.988565
to,165.87,166.1,0.105847
ruin(2),166.11,166.42,0.295425
asian,166.43,166.78,0.641176
through,166.79,166.98,0.268004
some,166.99,167.37,0.9991
combination,167.38,168.02,0.98728
of,168.03,168.13,0.932946
mutilation,168.14,168.79,0.9992
compression,168.8,169.51,0.9992
voluntary,169.6,170.44,0.774584
scorching,170.45,171,0.748538
and,171.01,171.16,0.217822
baking,171.17,171.64,0.002804
but,173.14,173.33,0.699114
somebody's,173.34,174.24,0.004569
of,174.25,174.32,0.020375
earth,174.33,174.56,0.163833
history(2),174.57,175.08,0.515624
art,175.4,175.64,0.064434
incomplete,175.65,176.39,0.159532
and(2),177.15,177.34,0.532819
disheveled,177.35,177.93,0.216541
the,179.13,179.18,0.563625
library,179.19,179.85,0.983142
library,180.52,181.01,0.959825
is,181.02,181.19,0.952557
vast,181.2,181.7,0.002862
and,181.71,181.81,0.034931
magnificent,181.82,182.58,0.525569
but,184,184.16,0.834668
the,184.17,184.23,0.620174
credit,184.24,184.7,0.450187
i,186.34,186.45,0.677975
was(2),186.46,186.63,0.9998
this,186.64,186.85,0.561038
pattern,186.93,187.31,0.998501
complexity(2),187.36,188.22,0.986688
in,188.23,188.4,0.997603
the,188.41,188.49,0.777455
rock,188.5,188.8,0.564471
record(2),188.81,189.23,0.9989
obscure,189.24,189.89,0.211998
its,189.9,190.11,0.064569
meaning,190.12,190.49,0.061926
until,190.5,190.84,0.376886
relatively,190.85,191.48,1
recently,191.49,192.1,0.521745
nature,192.98,193.3,0.539252
provided,193.31,193.74,0.415322
no,193.75,193.89,0.970151
card,193.9,194.2,0.401758
catalogue,194.21,194.66,0.710391
for(2),194.67,194.81,0.676214
geologists,194.82,195.47,0.706212
us,195.48,195.6,0.129777
would,195.61,195.71,0.492736
have,195.72,195.95,0.669552
to(3),195.96,196.03,0.355433
be,196.04,196.2,0.546255
invented(2),196.21,196.78,0.632134
five,198.01,198.36,0.927643
thousand(2),198.37,198.79,0.736655
years,198.8,199.31,0.642395
after,199.32,199.78,0.998801
the,199.94,200.03,0.94809
samaritans,200.04,200.77,0.163522
learn,200.78,200.96,0.0203
to(3),200.97,201.02,0.069293
record(3),201.03,201.47,0.939688
their,201.48,201.62,0.804186
thoughts,201.63,201.97,0.9991
on,201.98,202.08,0.993421
clay,202.09,202.33,0.9993
tablets,202.34,202.83,0.904284
the(2),202.84,202.93,0.953605
person,202.94,203.39,0.963961
audience,203.4,203.82,0.086054
for(2),203.83,203.93,0.231201
maintenance(2),203.94,204.63,0.880545
ruble,204.7,205.07,0.269509
to(3),205.08,205.24,0.416445
humans,205.25,205.83,0.885844
we,206.51,206.62,0.104136
were,206.63,206.73,0.041967
geological,206.74,207.45,0.9998
a(2),207.46,207.68,0.572545
illiterate,208.07,208.68,0.150842
i,209.68,209.76,0.639319
know,209.77,209.86,0.708192
where,209.87,210.17,0.629485
the(2),210.18,210.3,0.919238
integrity,210.31,210.86,0.966568
of,210.87,210.98,0.885313
our(2),211.17,211.45,0.188041
own,211.46,211.7,0.957045
planet,211.71,212.25,0.442686
and,212.89,213.22,0.465293
ignorant,213.23,213.69,0.917585
of,213.7,213.78,0.851958
our(3),213.79,213.86,0.781196
connection,213.87,214.44,0.984519
to(2),214.45,214.56,0.972094
the(2),214.57,214.8,0.658923
time,214.81,215.26,0.986293
it,217.07,217.17,0.931641
wasn't,217.18,217.58,0.432619
until,217.59,217.91,0.16611
the,217.92,218.03,0.454939
turn,218.04,218.47,0.155951
of,218.48,218.55,0.162202
the,218.56,218.62,0.927272
nineteenth,218.63,219.14,0.883102
century,219.15,219.73,0.997204
but,220.29,220.42,0.058051
our(3),220.43,220.55,0.103834
blinders,220.56,221.29,0.93416
were,221.3,221.49,0.969375
removed,221.5,222.16,0.612408
first,222.63,223.39,0.957715
with,223.4,223.51,0.685475
the,223.52,223.58,0.740126
publication,223.59,224.36,0.97521
of,224.67,224.92,0.983338
james,224.93,225.4,0.728887
how,225.41,225.65,0.506425
his,225.66,225.86,0.025952
theory(2),225.87,226.3,0.028635
of,226.31,226.43,0.092359
yours,226.44,226.87,0.01869
in,227.08,227.21,0.822076
which(2),227.22,227.47,0.467111
he,227.48,227.57,0.329517
told,227.58,227.87,0.976088
us,227.88,228,0.832501
that(2),228.01,228.16,0.590987
the(2),228.17,228.3,0.995111
earth,228.31,228.55,0.963768
reveals,228.56,228.97,0.105109
no,228.98,229.23,0.843311
vested,229.24,229.66,0.933786
in,229.67,229.72,0.97365
the,229.73,229.8,0.99531
beginning,229.81,230.35,0.9998
and(2),231,231.19,0.555122
no,231.2,231.36,0.991733
prospect,231.37,231.94,0.827603
of,231.95,232.05,0.952747
an(2),232.06,232.15,0.095143
end,232.16,232.45,0.050522
and(2),233.5,233.69,0.917218
then,233.7,233.93,0.880897
when(3),233.94,234.05,0.251513
the,234.06,234.13,0.254448
printing,234.14,234.66,0.07319
of,234.67,234.96,0.312318
william,234.97,235.36,0.15242
smith,235.37,235.97,0.997702
map,236.04,236.62,0.568835
of,236.63,236.75,0.878346
britain,236.76,237.24,0.343962
first,237.52,237.85,1.0005
countries,237.86,238.38,0.590987
the,238.39,238.5,0.104323
us,238.51,238.62,0.046164
geological,238.63,239.18,0.9997
map,239.19,239.64,0.801135
giving,239.65,239.93,0.072584
us,239.94,240.13,0.337859
the,240.14,240.3,0.870214
first,240.31,240.61,1.0001
time,240.62,240.82,0.995609
predicted,240.83,241.36,0.063063
insight,241.37,241.81,0.041025
into(2),242.23,242.51,0.825454
where,242.52,242.83,0.660375
certain,242.84,243.18,0.9989
types,243.19,243.47,0.791182
of,243.48,243.61,0.9999
rocks,243.62,243.88,0.8281
might,243.89,244.08,0.036605
occur,244.09,244.47,0.054747
after,245.5,245.81,0.983929
that,245.82,246.07,0.9996
you,246.08,246.15,0.879752
could,246.16,246.27,0.320641
say,246.28,246.46,0.989851
things,246.47,246.75,0.996406
like,246.76,246.96,1
if,247.52,247.62,0.465153
we,247.63,247.71,1
go,247.72,247.83,0.989851
over,247.84,248,0.859231
there,248.01,248.37,0.886997
we,248.7,248.8,0.319969
should,248.81,249,0.9999
be,249.01,249.11,0.9995
in,249.12,249.2,0.724019
the,249.21,249.27,0.424858
jurassic,249.28,249.87,0.9999
or,250.6,250.76,0.673986
if,250.77,250.86,0.635558
we,250.87,250.97,0.930709
go,250.98,251.1,0.572545
over,251.11,251.42,0.370384
that,251.43,251.62,0.500834
hill,251.63,251.9,0.126788
we,252.69,252.82,0.665746
should,252.83,252.98,0.521224
find,252.99,253.24,0.868475
the,253.25,253.3,0.13082
cretaceous,253.31,254.05,0.119679
so,255.11,255.23,0.998301
now,255.24,255.84,0.9993
if,256.17,256.28,0.853834
you,256.29,256.37,0.9989
would,256.38,256.53,0.113341
find,256.54,256.75,0.144942
trial(2),256.76,257.06,0.063373
bites,257.07,257.51,0.036659
it,257.97,258.1,0.346102
is,258.11,258.24,0.345756
over,258.25,258.42,0.922739
the,258.43,258.72,0.998201
geological,258.73,259.31,0.9991
map,259.32,259.74,0.9993
and(2),260.03,260.25,0.627034
go,260.26,260.5,0.972969
to(3),260.51,260.63,0.480953
the,260.64,260.72,0.998701
rocks,260.73,261.08,0.936686
is,261.09,261.23,0.073527
kelly,261.24,261.52,0.027867
is,261.53,261.69,0.189457
alex,261.7,262.07,0.013582
if,263.08,263.19,0.822405
you,263.2,263.29,0.998701
want,263.3,263.44,0.9995
to(3),263.45,263.51,0.764578
find,263.52,263.78,0.938373
dinosaurs,263.79,264.36,0.985702
like,264.37,264.56,0.995609
i,264.57,264.72,0.936311
do,264.73,265.06,0.927179
buy,265.42,265.62,0.016461
the,265.63,265.69,0.857
rights,265.7,266,0.368905
of,266.01,266.07,0.525411
the,266.08,266.13,0.410983
mesozoic,266.14,266.85,0.303632
and,267.62,267.77,0.921816
though,267.78,267.93,0.043077
that,267.94,268.33,0.934347
that,269.21,269.38,0.194915
horse,269.39,269.78,0.031414
evil,269.9,270.21,0.011556
remake,270.22,270.65,0.027934
of,270.66,270.74,0.439334
fossil,270.75,271.22,0.9992
his,271.23,271.4,0.127004
sedimentary,271.41,272.06,0.840364
rock,272.07,272.36,0.936592
rock,272.37,272.62,0.996705
made,272.63,272.81,0.481724
by,272.82,272.94,0.69389
standing,272.95,273.53,0.431582
not,273.54,273.82,0.087468
you,274.52,274.61,0.774584
can,274.62,274.85,0.919422
have,274.86,275.04,0.995908
a,275.05,275.09,0.516037
fossil,275.1,275.57,0.9991
in,275.58,275.74,0.953605
a(2),275.75,275.87,0.209029
previous,275.88,276.49,0.041491
rock,276.5,276.78,0.675268
for,276.79,276.99,0.911093
my,277,277.21,0.952747
magma,277.22,277.64,0.214815
like,277.65,277.82,0.60595
a,277.83,277.87,0.214643
granite(2),277.88,278.41,0.003385
or,279.05,279.36,0.43249
in,279.37,279.57,0.132465
a,279.58,279.7,0.220982
morbid,279.71,280.09,0.025545
rockets,280.1,280.54,0.566054
and,280.55,280.66,0.605163
he'd,280.67,281.06,0.136623
eat,281.07,281.17,0.082952
sweets,281.18,281.82,0.129557
and(2),282.76,282.96,0.374593
a(2),282.97,283,0.008856
half,283.01,283.2,0.031512
to(3),283.21,283.28,0.77072
get(2),283.29,283.42,0.361672
yourself,283.43,283.81,0.812431
in,283.82,283.88,0.448928
the,283.89,283.95,0.171357
desert,283.96,284.41,0.012256
it's,285.4,285.55,0.923477
not,285.56,285.73,0.998701
that(2),285.74,285.86,0.159516
dinosaurs,285.87,286.37,0.998701
particularly(2),286.38,287.04,0.998501
live(2),287.05,287.25,0.084705
in,287.26,287.4,0.532873
guess,287.41,287.62,0.566394
is,287.63,287.95,0.55368
the(2),287.96,288.58,0.34979
lid,288.59,288.79,0.114343
on(2),288.8,288.94,0.892603
every(2),288.95,289.26,0.409957
land,289.27,289.5,0.32183
mass,289.51,289.94,0.981373
and(2),289.95,290.4,0.674256
every(2),290.41,290.73,0.693543
imaginable,290.74,291.39,0.999
and,291.4,291.51,0.829343
why,291.52,291.92,0.036153
it's,292.59,292.79,0.616895
the(2),292.8,293.21,0.994514
the,293.22,293.28,0.219989
global,293.29,293.59,0.036335
place,293.6,293.93,0.144406
of,293.94,294.06,0.080428
the,294.07,294.16,0.604074
desert,294.17,294.85,0.962709
at,294.86,295.3,0.056879
a,295.63,295.73,0.075396
place,295.74,295.93,0.171203
that(2),295.94,296.06,0.161248
doesn't(2),296.07,296.3,0.769103
have,296.31,296.48,1.0006
too,296.49,296.64,0.293334
many,296.65,296.84,0.673784
plants,296.85,297.25,0.521224
covering,297.26,297.61,0.012855
up,297.62,297.73,0.056471
the,297.74,297.82,0.979021
rocks,297.83,298.36,0.957428
that,298.37,298.93,0.761983
advice(2),298.94,299.22,0.079588
for(3),299.23,299.47,0.385232
road,299.48,299.79,0.077483
use(2),299.8,300.07,0.00131
always(2),300.08,300.42,0.143213
exposing,300.43,301.01,0.9993
you,301.02,301.16,0.166625
bones,301.17,301.48,0.997303
of,301.49,301.59,0.83659
the,301.6,301.65,0.967825
service,301.66,302.27,0.618935
the,303.26,303.4,0.231455
final,303.41,303.71,0.124041
three,303.72,303.95,0.386892
things,303.96,304.42,0.523732
roxanne,304.9,305.28,0.307298
right,305.29,305.46,0.523837
age,305.47,305.91,0.114012
where,306.35,306.56,0.165033
cemetery,306.57,307.21,0.156591
rocks,307.22,307.74,0.425837
in,308.31,308.42,0.070179
the,308.43,308.5,0.039749
desert,308.51,308.88,0.056049
and(2),309.42,309.62,0.692295
get(2),309.63,309.79,0.697438
yourself,309.8,310.15,0.669418
on(2),310.16,310.27,0.502641
the,310.28,310.35,0.844323
ground,310.36,310.72,0.992031
and(2),311.01,311.14,0.471901
you,311.15,311.26,0.960785
literally,311.27,311.71,0.998201
walk,311.72,312.31,0.709326
if,312.54,312.79,0.048193
we,312.8,312.99,0.13586
see,313,313.21,0.432446
a,313.22,313.27,0.438719
bone,313.28,313.71,0.948374
sticking,313.72,314.1,0.9999
out,314.11,314.23,0.991436
on(2),314.24,314.3,0.141108
the,314.31,314.37,0.498535
rocks,314.38,314.81,0.19977
so,316.61,316.76,0.998301
here's,316.77,316.97,0.328891
a,316.98,317.03,0.529632
picture,317.04,317.32,0.237339
that(2),317.33,317.45,0.145581
i'd,317.46,317.6,0.023458
set,317.61,317.93,0.009168
in,317.94,318.05,0.355397
southern,318.06,318.4,0.402281
tag,318.41,318.72,0.002734
on,318.73,318.87,0.333028
it,318.88,319,0.050522
and(2),319.72,320.06,0.65787
every(2),320.42,320.8,0.706777
pavel,320.81,321.22,0.004389
that(2),321.23,321.36,0.002211
you,321.37,321.42,0.260317
see,321.43,321.62,0.892246
on,321.63,321.72,0.681101
the,321.73,321.79,0.730639
ground,321.8,322.11,0.994912
there,322.12,322.4,0.204828
this,323.12,323.27,0.506628
piece,323.28,323.52,0.932853
of,323.53,323.6,1
dinosaur,323.61,324.07,0.805312
bone,324.08,324.35,0.171666
so,325.54,325.68,0.9996
when(3),325.69,325.79,0.654392
you're,325.8,326,0.992825
in,326.01,326.09,0.492884
that,326.1,326.29,0.333395
great,326.3,326.52,0.068227
situation,326.53,327.2,0.960113
is,327.27,327.45,0.831419
not,327.46,327.6,0.975502
a,327.61,327.67,0.111241
question(2),327.68,328.04,0.844492
of,328.05,328.17,0.778155
whether,328.18,328.36,0.089943
you're,328.37,328.5,0.730492
going(2),328.51,328.71,0.607163
to(3),328.72,328.78,0.410819
find,328.79,329.05,0.916943
fossils,329.06,329.5,0.9995
are(2),329.51,329.54,0.220188
not,329.55,329.77,0.204031
going(2),329.78,330.04,0.9994
to(3),330.05,330.1,0.412754
find,330.11,330.37,0.979902
fossils,330.38,330.94,0.9996
the,331.34,331.42,0.746071
question,331.43,331.86,0.655571
is,331.87,332.01,0.977064
would,332.02,332.14,0.036059
you,332.15,332.23,0.9998
find,332.24,332.62,0.9998
something,332.63,333.12,0.9996
that(2),333.13,333.22,0.754551
is,333.23,333.38,0.915202
scientifically(2),333.39,334.12,0.864921
significant(2),334.13,334.78,0.58957
and(2),335.7,335.87,0.759092
how,335.88,336.03,0.604921
could,336.04,336.18,0.05741
that,336.19,336.35,0.86233
i'm(2),336.36,336.44,0.100212
going,336.45,336.66,0.104699
at,336.67,337.01,0.211553
fourth,337.02,337.49,0.225627
parts,337.5,337.84,0.179586
of,337.85,337.93,0.366771
california,337.94,338.55,0.988762
law(2),338.56,338.71,0.037618
which,339.67,339.85,0.894122
is,339.86,339.94,0.979217
this,339.95,340.38,0.65204
get,341.42,341.69,0.122647
as,341.7,341.91,0.494711
far,341.92,342.28,0.998002
away,342.29,342.51,0.9991
from,342.52,342.78,0.999
other,342.82,343.03,0.945438
paleontologist,343.04,344.03,0.687672
as,344.04,344.2,0.491014
possible,344.21,344.74,0.9992
huh,344.78,345.19,0.006855
huh,345.2,345.38,0.001278
huh,345.39,345.59,0.000118
huh,345.6,345.78,0.042824
facts,346.55,347.05,0.034014
not,347.06,347.34,0.458823
i,347.35,347.4,0.441051
don't(2),347.41,347.53,0.482254
like,347.54,347.65,0.612285
the(2),347.66,347.85,0.244055
paleontologists,347.86,348.73,0.015175
we,349.13,349.38,0.939688
go,349.39,349.54,0.447359
to,349.55,349.65,0.101371
place,349.66,349.94,0.606981
it's,349.95,350.1,0.583003
relatively,350.11,350.68,1
unexplored,350.69,351.29,1
yeah,351.83,351.95,0.935188
so,351.96,352.04,0.218367
much,352.05,352.36,0.236793
better,352.4,352.64,0.993322
chance,352.65,352.98,0.419287
and,352.99,353.1,0.316278
now,353.11,353.25,0.106997
i'm(2),353.26,353.44,0.042355
finding,353.45,353.95,0.719976
fossils,353.96,354.43,0.371348
that(2),354.44,354.57,0.042678
i'm(2),354.58,354.64,0.011687
finding,354.65,355.1,0.295839
something,355.11,355.54,0.9997
that's,355.55,355.73,0.127794
